"№","Наименование","Ед. изм.","Сухие в-ва","Калорийность"
"282","Картофель","кг","24","76.8"
"283","Картофель п/ф мороженный","кг","32","145"
"284","Картофельное пюре сухое","кг","89","340.6"
"285","Картофельные дольки п/ф с/м","кг","32","145"
"286","Каштаны","кг","48.3","178.7"
"287","Квас хлебный","л","6.6","20.8"
"288","Кетчуп томатный","кг","32","121.7"
"289","Кеты соломка вяленая","кг","64","271"
"290","Кефир жирный","кг","11.7","56.4"
"291","Кефир нежирный","кг","8.6","27.7"
"292","Киви","кг","16","51.3"
"293","Кижуч вяленый слайсы","кг","64","271"
"294","Килька соленая","кг","39","136.8"
"295","Кирш (вишневая водка)","кг","31.7","0"
"296","Кислота лимонная","кг","99.8","0"
"297","Клубника","кг","15.5","32"
"298","Клыкач х/к (балык)","кг","45.9","169.4"
"299","Клюква","кг","10.5","17.2"
"300","Козлобородник корень","кг","21","76.2"
"301","Кока-кола","л","11","41.6"
"302","Кокосовая стружка","кг","97.7","606"
"303","Кокосовое молоко","кг","19.5","163"
"304","Колбаса Вареная Говяжья","кг","30","165.3"
"305","Колбаса Вареная Докторская","кг","39.2","257"
"306","Колбаса Вареная Молочная","кг","37.2","252"
"307","Колбаса Пеппероне","кг","72.40000000000001","472.7"
"308","Колбаса Полукопченая Краковская","кг","65.40000000000001","466.2"
"309","Колбаса Полукопченая Охотничьи колбаски","кг","70","462.8"
"310","Колбаса Салями","кг","66.3","438.4"
"311","Колбаса Салями Милано","кг","66.3","438.4"
"312","Колбаса Сырокопченая","кг","72.40000000000001","472.7"
"313","Колбаса Сырокопченая Сервелат","кг","70.7","460.5"
"314","Колбаса Чоризо","кг","68.2","448.3"
"315","Колбаса п/к Сервелат","кг","61","425.3"
"316","Колбаска белая н/о Улитка","кг","44","351"
"317","Колбаски Вайсвурст для жарки","кг","34","261"
"318","Колбаски из говядины с вялеными помидорами","кг","58","399"
"319","Колбаски из телятины с кизилом","кг","41","261"
"320","Колбаски из ягнятины","кг","58","399"
"321","Колбаски куриные с вялеными помидорами","кг","52","360"
"322","Кольца кальмара в панировке с/м","кг","73","396.5"
"323","Конина мякоть","кг","27.4","127"
"324","Конина сыровяленная","кг","31","146"
"325","Конфеты M&M","кг","98.5","474.7"
"326","Конфеты Рафаэлло","кг","98.59999999999999","555.4"
"327","Конфеты Шоколадные с комбинированными корпусами (Глазированные шоколадом)","кг","90.7","425.8"
"328","Конфеты Шоколадные с пролиновыми корпусами (Глазированные шоколадом)","кг","99.3","561.9"
"329","Конфеты Шоколадные с шоколадно-ореховыми корпусами (Глазированные шоколадом)","кг","98.59999999999999","555.4"
"330","Конфеты помадные","кг","91","384.6"
"331","Конфитюр, джем","кг","35","132"
"332","Концентрат  соуса карри ""Ява""","кг","82","499.4"
"333","Концентрат Каке Каэши","кг","25","96"
"334","Концентрат напитка ""Золотой Шар"" на сахаре","кг","95.3","373.2"
"335","Концентрат соус Буккае Каэши","кг","32","124"
"336","Концентрат соуса Карри ""Вермонт""","кг","89","543.5"
"337","Коньяк (бренди)","л","31.7","0"
"338","Коппа (Сыровяленная свиная шейка)","кг","77","605.3"
"339","Корейка свиная копчено-запеченная без кости ","кг","62.3","474.6"
"340","Корж вафельный","кг","70","304.4"
"341","Корж для пиццы, сырой","кг","70","304.4"
"342","Корзиночка (тарталетка) из песочного теста","кг","94.5","433.8"
"343","Корнишоны маринованные","кг","8","10.5"
"344","Коробка картонная","шт","0","0"
"345","Кости свинокопченостей","кг","0","216"
"346","Косуля мякоть","кг","28.2","138.4"
"347","Котлета для гамбургера с/м","кг","24.5","106.3"
"348","Кофе натуральный в капсулах","шт","93","196.4"
"349","Кофе натуральный обжаренный","кг","93","196.4"
"350","Кофе растворимый","кг","96.59999999999999","76.40000000000001"
"351","Кофейный напиток (сухой концентрат из цикория)","кг","93","56.2"
"352","Краб камчатский (ножки в панцире) в/м","кг","21.6","96.40000000000001"
"353","Краб камчатский в/м (мякоть)","кг","21.6","96.40000000000001"
"354","Краб консервированный","кг","21.8","85.09999999999999"
"355","Крабовые палочки (Сурими)","кг","23.4","70"
"356","Краситель пищевой","кг","0","0"
"357","Крахмал Sakura (Япония)","кг","90","357.2"
"358","Крахмал картофельный","кг","80","318.8"
"359","Крахмал кукурузный","кг","87","350.2"
"360","Креветка Ама Эби в/м разделанная","кг","20.2","82.3"
"361","Креветки  Гигантские с/м","кг","22.8","95.40000000000001"
"362","Креветки Королевские в/м","кг","24.7","97.7"
"363","Креветки антарктические консервированные","кг","21.1","81.09999999999999"
"364","Креветки в панцире варено-мороженные","кг","24.7","97.7"
"365","Креветки в/м очищенные","кг","24.7","97.7"
"366","Креветки вяленые","кг","64","271"
"367","Креветки тигровые без головы","кг","22.8","95.40000000000001"
"368","Креветки тигровые с/м","кг","69.59999999999999","284.4"
"369","Крекеры из муки высшего сорта","кг","91.5","428.1"
"370","Креманка 300 грамм","шт","0","0"
"371","Креманка 600 грамм","шт","0","0"
"372","Креманка десертная кристалл","шт","0","0"
"373","Кролик ножки","кг","33.3","183.4"
"374","Кролик сыровяленный","кг","39","188"
"375","Кролик тушка","кг","33.3","183.4"
"376","Круассан без наполнителя","кг","75.2","383.7"
"377","Крыжовник","кг","17","41"
"378","Крылышки куриные маринованные п/ф","кг","33.4","184.6"
"379","Ксантановая Смола (Xanthan Gum)","кг","100","2"
"380","Кукуруза в початках","кг","30.1","115.9"
"381","Кукуруза в початках консервированная","кг","13","57.2"
